probe,gene,gsm,tumor,expression,mean,std,z_score
ILMN_1652472,braf,GSM4003149,BN,273.5809,331.1884984,119.7552478,-0.481044459
ILMN_1652472,braf,GSM4003259,BN,318.4247,331.1884984,119.7552478,-0.106582372
ILMN_1652472,braf,GSM4003272,BN,370.3759,331.1884984,119.7552478,0.327229097
ILMN_1652472,braf,GSM4003285,BN,257.1124,331.1884984,119.7552478,-0.618562441
ILMN_1652472,braf,GSM4003301,BN,240.2092,331.1884984,119.7552478,-0.759710326
ILMN_1652472,braf,GSM4003415,BN,98.24601,331.1884984,119.7552478,-1.945154744
ILMN_1652472,braf,GSM4003416,BN,111.6572,331.1884984,119.7552478,-1.833166416
ILMN_1652472,braf,GSM4003418,BN,88.84771,331.1884984,119.7552478,-2.023633977
ILMN_1652472,braf,GSM4003421,BN,189.7274,331.1884984,119.7552478,-1.18125177
ILMN_1652472,braf,GSM4003436,BN,333.317,331.1884984,119.7552478,0.017773765
ILMN_1652472,braf,GSM4003438,BN,103.098,331.1884984,119.7552478,-1.904638858
ILMN_1652472,braf,GSM4003466,BN,408.5884,331.1884984,119.7552478,0.64631741
ILMN_1652472,braf,GSM4003469,BN,350.1235,331.1884984,119.7552478,0.15811417
ILMN_1652472,braf,GSM4003484,BN,370.0824,331.1884984,119.7552478,0.324778265
ILMN_1652472,braf,GSM4003507,BN,327.4644,331.1884984,119.7552478,-0.03109758
ILMN_1652472,braf,GSM4003519,BN,403.0483,331.1884984,119.7552478,0.600055555
ILMN_1652472,braf,GSM4003522,BN,474.662,331.1884984,119.7552478,1.198056071
ILMN_1652472,braf,GSM4003523,BN,409.1801,331.1884984,119.7552478,0.651258321
ILMN_1652472,braf,GSM4003529,BN,335.8829,331.1884984,119.7552478,0.039199966
ILMN_1652472,braf,GSM4003530,BN,378.5607,331.1884984,119.7552478,0.395575163
ILMN_1652472,braf,GSM4003531,BN,415.4038,331.1884984,119.7552478,0.703228486
ILMN_1652472,braf,GSM4003533,BN,436.6645,331.1884984,119.7552478,0.880763086
ILMN_1652472,braf,GSM4003535,BN,361.0161,331.1884984,119.7552478,0.249071353
ILMN_1652472,braf,GSM4003537,BN,387.1058,331.1884984,119.7552478,0.466929865
